DATE,EUNNGDP(EURO Currency)
1/1/1995,1407085
4/1/1995,1425859.5
7/1/1995,1449565.2
10/1/1995,1463893.8
1/1/1996,1474636.8
4/1/1996,1493685.1
7/1/1996,1509865.4
10/1/1996,1512542.2
1/1/1997,1509434.5
4/1/1997,1527739.4
7/1/1997,1539001.9
10/1/1997,1562848.4
1/1/1998,1569943.6
4/1/1998,1585881.1
7/1/1998,1602399.2
10/1/1998,1621257.1
1/1/1999,1637662.7
4/1/1999,1653189.7
7/1/1999,1675631.5
10/1/1999,1701847.6
1/1/2000,1727085.3
4/1/2000,1748692.3
7/1/2000,1768470.7
10/1/2000,1788666.9
1/1/2001,1818912.7
4/1/2001,1833194.6
7/1/2001,1845648.6
10/1/2001,1861903.1
1/1/2002,1878695.3
4/1/2002,1894148.4
7/1/2002,1914518.3
10/1/2002,1927707.1
1/1/2003,1933604.8
4/1/2003,1944193.5
7/1/2003,1969752.9
10/1/2003,1988037.1
1/1/2004,2009388
4/1/2004,2031255.4
7/1/2004,2045996.4
10/1/2004,2064852.9
1/1/2005,2076918.6
4/1/2005,2101036.8
7/1/2005,2124741.8
10/1/2005,2153257.3
1/1/2006,2178467.4
4/1/2006,2215121.8
7/1/2006,2240268.6
10/1/2006,2276228.1
1/1/2007,2313903.5
4/1/2007,2338699.7
7/1/2007,2363298.3
10/1/2007,2392762.4
1/1/2008,2416019.1
4/1/2008,2422021
7/1/2008,2413523.9
10/1/2008,2382895.4
1/1/2009,2317802.6
4/1/2009,2311922.6
7/1/2009,2322377.1
10/1/2009,2340629.1
1/1/2010,2350006
4/1/2010,2377954
7/1/2010,2397499.2
10/1/2010,2417563.2
1/1/2011,2440392.1
4/1/2011,2447763
7/1/2011,2455175.6
10/1/2011,2457515
1/1/2012,2461388.3
4/1/2012,2459556.3
7/1/2012,2464528.1
10/1/2012,2462334.2
1/1/2013,2463080.5
4/1/2013,2483095.6
7/1/2013,2495142
10/1/2013,2506973.4
1/1/2014,2526958.7
4/1/2014,2533270.2
7/1/2014,2549742.6
10/1/2014,2571757.1
1/1/2015,2604044.5
4/1/2015,2621630.8
7/1/2015,2641360.6
10/1/2015,2662582.6
1/1/2016,2684121.6
4/1/2016,2694236.1
7/1/2016,2707330
10/1/2016,2734266.9
1/1/2017,2758557.8
4/1/2017,2790334.9
7/1/2017,2817759.3
10/1/2017,2844787
1/1/2018,2865122.9
4/1/2018,2887800.8
7/1/2018,2902620.2
10/1/2018,2920293.4
