year,IYR,EYR
1997,160896,143931.4
1998,180549.8,151967
1999,200052.9,154824.8
2000,226900.8,168181.1
2001,226568.2,161931
2002,232313.4,146621.2
2003,253041.7,155170.1
2004,281958.624,171229.64
2005,309627.98,185165.9
2006,330481.7,211886.9
2007,354409.2623,244165.9036
2008,367617.4479,271810.0855
2009,281800.8467,220599.3458
2010,319263.8226,239590.9601
2011,368463.9312,269068.684
2012,381755.3631,265372.5075
2013,387510.3699,262095.3331
2014,420608.8378,276274.4108
2015,427810.2682,271911.188
2016,416393.3358,269548.7079
2017,434632.6375,283269.2569
2018,487915.6285,318619.3433
