Date,Import Energy,Export Energy
2019-03-29,8870,7594
2019-03-22,8761,8084
2019-03-15,9048,7589
2019-03-08,8898,7785
2019-03-01,8911,8272
2019-02-22,8002,8164
2019-02-15,9436,8330
2019-02-08,8172,7541
2019-02-01,9908,8022
2019-01-25,8707,6998
2019-01-18,10312,6954
2019-01-11,9922,7685
2019-01-04,9931,6937
2018-12-28,9008,7616
2018-12-21,9498,8856
2018-12-14,9235,7777
2018-12-07,9136,7814
2018-11-30,8838,9049
2018-11-23,10096,8714
2018-11-16,9386,7171
2018-11-09,9093,6455
2018-11-02,9443,7337
2018-10-26,9043,7839
2018-10-19,9383,7528
2018-10-12,9723,7554
2018-10-05,9805,7475
2018-09-28,10463,7398
2018-09-21,10082,7837
2018-09-14,10353,7590
2018-09-07,10519,6688
2018-08-31,10024,5569
2018-08-24,10158,6626
2018-08-17,10121,6528
2018-08-10,11121,6869
2018-08-03,10225,7052
2018-07-27,10045,6338
2018-07-20,10255,8051
2018-07-13,11121,6203
2018-07-06,9324,7654
2018-06-29,11382,7476
2018-06-22,10400,8544
2018-06-15,10139,7597
2018-06-08,10712,6712
2018-06-01,10207,7031
2018-05-25,10291,6822
2018-05-18,11018,6881
2018-05-11,9773,7205
2018-05-04,9855,6692
2018-04-27,10779,7158
2018-04-20,10520,8332
2018-04-13,9770,6725
2018-04-06,10554,6229
2018-03-30,10604,6919
2018-03-23,10314,6491
2018-03-16,8934,6566
2018-03-09,9582,6649
2018-03-02,10587,6403
2018-02-23,9105,5669
2018-02-16,8937,6752
2018-02-09,9834,6274
2018-02-02,10163,5722
2018-01-26,11245,6649
2018-01-19,10290,6213
2018-01-12,9535,6356
2018-01-05,9592,6145
2017-12-29,9843,5945
2017-12-22,10157,6797
2017-12-15,10315,7553
2017-12-08,9623,5632
2017-12-01,9170,6399
2017-11-24,9100,7328
2017-11-17,9795,7012
2017-11-10,9981,6142
2017-11-03,9550,5854
2017-10-27,9629,7678
2017-10-20,9819,7663
2017-10-13,9716,6846
2017-10-06,9801,5945
2017-09-29,9774,7023
2017-09-22,10342,6085
2017-09-15,9422,5417
2017-09-08,8433,3735
2017-09-01,8913,2180
2017-08-25,10496,5411
2017-08-18,10662,5339
2017-08-11,10266,5633
2017-08-04,10368,4890
2017-07-28,10079,5079
2017-07-21,10128,5540
2017-07-14,9972,5537
2017-07-07,9421,5620
2017-06-30,10033,5116
2017-06-23,9832,5599
2017-06-16,10142,4897
2017-06-09,9816,5170
2017-06-02,10633,5117
2017-05-26,10222,6233
2017-05-19,10494,5267
2017-05-12,10636,6005
2017-05-05,10179,5275
2017-04-28,10297,5275
2017-04-21,11280,5979
2017-04-14,9793,5867
2017-04-07,9333,5033
2017-03-31,10022,5310
2017-03-24,10604,6210
2017-03-17,10284,5334
2017-03-10,9558,5685
2017-03-03,10446,6224
2017-02-24,9911,5335
2017-02-17,9485,5898
2017-02-10,10479,5533
2017-02-03,11916,5948
2017-01-27,10302,5289
2017-01-20,10290,5540
2017-01-13,10655,5314
2017-01-06,11121,5946
2016-12-30,9428,5672
2016-12-23,9876,6494
2016-12-16,10225,5431
2016-12-09,9344,5744
2016-12-02,10515,5266
2016-11-25,10061,5082
2016-11-18,9951,4812
2016-11-11,10907,5239
2016-11-04,9232,4890
2016-10-28,10957,4598
2016-10-21,9068,4600
2016-10-14,9127,3946
2016-10-07,9866,4611
2016-09-30,9968,5290
2016-09-23,9978,5464
2016-09-16,10343,5736
2016-09-09,10262,4203
2016-09-02,9103,4066
2016-08-26,11036,4976
2016-08-19,11169,4578
2016-08-12,10364,4578
2016-08-05,10607,4578
2016-07-29,10918,4578
2016-07-22,10796,4578
2016-07-15,10580,4492
2016-07-08,10114,4492
2016-07-01,10568,4492
2016-06-24,10466,4492
2016-06-17,10721,4218
2016-06-10,10048,4218
2016-06-03,10031,4218
2016-05-27,9898,4218
2016-05-20,9944,3998
2016-05-13,9787,3998
2016-05-06,9697,3998
2016-04-29,9858,3998
2016-04-22,10044,3998
2016-04-15,10026,4023
2016-04-08,10009,4023
2016-04-01,9468,4023
2016-03-25,9470,4772
2016-03-18,10254,4772
2016-03-11,9647,4772
2016-03-04,9989,4772
2016-02-26,10209,4772
2016-02-19,9800,4364
2016-02-12,10231,4364
2016-02-05,9043,4364
2016-01-29,10330,4364
2016-01-22,10008,4364
2016-01-15,10042,4343
2016-01-08,9861,4343
2016-01-01,9103,4343
2015-12-25,9462,4343
2015-12-18,8910,4343
2015-12-11,10429,4598
2015-12-04,10095,4598
2015-11-27,9416,4598
2015-11-20,9025,4598
2015-11-13,8437,4197
2015-11-06,9093,4197
2015-10-30,8155,4197
2015-10-23,8851,4197
2015-10-16,9165,4561
2015-10-09,9410,4561
2015-10-02,8802,4561
2015-09-25,9645,4561
2015-09-18,9123,4172
2015-09-11,8847,4172
2015-09-04,9371,4172
2015-08-28,9973,4172
2015-08-21,9247,4172
2015-08-14,10652,4460
2015-08-07,9917,4460
