DATA_MONTH,EU_CPI,DOLLAR_PER_BARREL,DEXUSEU,US_CPI,US_INT_RATE,US_IMPORT,US_EXPORT
2018M12,104.5,57.36235294,1.138038889,252.723,2.365789474,41064.55464,26006.05017
2018M11,104.5,64.74818182,1.13639,252.76,2.2405,42057.60156,26940.97004
2018M10,104.9,81.03217391,1.148759091,252.794,2.173636364,45438.31629,27823.10356
2018M09,104.7,78.891,1.166694737,252.01,2.036842105,37776.06076,27130.51119
2018M08,104.3,72.52826087,1.15466087,251.879,1.940869565,41306.62455,25598.72242
2018M07,104.1,74.25409091,1.168461905,251.597,1.893333333,41491.91495,23902.50869
2018M06,104.3,74.4047619,1.167914286,251.134,1.805238095,40085.51949,28361.57094
2018M05,104.2,76.9752381,1.182263636,250.646,1.706818182,41355.7529,27968.73927
2018M04,103.6,72.106,1.226952381,249.956,1.66047619,41446.99737,26804.62897
2018M03,103.2,66.01666667,1.233395455,249.498,1.636666667,41993.64612,29847.54746
2018M02,102.3,65.3175,1.233968421,249.369,1.380526316,37021.35607,24974.74432
2018M01,102.1,69.07727273,1.219652381,248.884,1.3,36877.28379,23260.24626
2017M12,102.8,64.37368421,1.183615,247.901,1.204,40584.17779,24793.89319
2017M11,102.5,62.71409091,1.174295,247.332,1.09,38261.19628,23572.5074
2017M10,102.5,57.50772727,1.175547619,246.587,0.995714286,39363.20091,25608.13331
2017M09,102.4,56.15285714,1.191335,246.418,0.994,35671.22328,24263.0394
2017M08,102.1,51.70434783,1.181291304,245.297,0.979565217,35706.87673,23388.21782
2017M07,101.8,48.47857143,1.153015,244.39,0.972,34961.06986,21462.84517
2017M06,102.2,46.36818182,1.1233,244.182,0.841363636,36203.75678,23663.28377
2017M05,102.1,50.32652174,1.104986364,243.962,0.728181818,36512.18329,23714.09388
2017M04,102.1,52.30789474,1.07138,244.051,0.745789474,35460.20382,22878.73584
2017M03,101.6,51.58913043,1.069104348,243.749,0.662608696,36895.91557,25804.62908
2017M02,100.9,54.8695,1.065021053,243.961,0.482105263,32379.31337,22898.56816
2017M01,100.5,54.57666667,1.063494737,243.78,0.496,32633.51984,21221.30987
2016M12,101.2,53.3085,1.054461905,242.772,0.423333333,35178.54724,23012.98112
2016M11,100.7,44.73409091,1.07918,242.029,0.3,35590.91685,20788.20331
2016M10,100.9,49.52238095,1.10144,241.691,0.244,36043.07413,22982.27729
2016M09,100.6,46.56772727,1.121780952,241.051,0.191428571,33478.56128,23206.90528
2016M08,100.3,45.84304348,1.120652174,240.602,0.260869565,35726.78972,21834.96613
2016M07,100.3,44.95190476,1.105495,240.15,0.2635,33887.98275,21437.2924
2016M06,100.7,48.24727273,1.123177273,240.167,0.221363636,36698.40188,23871.99087
2016M05,100.5,46.74238095,1.131204762,239.464,0.226190476,35528.66989,22017.23415
2016M04,100.1,41.58333333,1.134566667,238.827,0.187619048,35003.68723,22996.67613
2016M03,99.9,38.21045455,1.113352174,238.038,0.253181818,37571.31818,24523.17923
2016M02,99,32.1815,1.10923,237.469,0.256,32406.73554,22513.09871
2016M01,98.8,30.6995,1.085505263,237.833,0.227368421,29278.65114,20363.90325
2015M12,100,38.00545455,1.088868182,237.817,0.171818182,35478.82825,21765.75536
2015M11,100,44.26761905,1.072657895,238.016,0.071052632,35655.73947,22042.35815
2015M10,100.3,48.43,1.122795238,237.781,0.025,37894.65846,24280.93556
2015M09,100.2,47.62318182,1.122852381,237.506,0.02,34704.86337,22804.66927
2015M08,100.1,46.515,1.113614286,238.028,0.037,34863.25741,21086.77704
2015M07,100.1,56.56130435,1.099740909,238.053,0.03,37142.47861,21584.31348
2015M06,100.6,61.47772727,1.122559091,237.684,0.015454545,37574.90649,22969.48782
2015M05,100.6,64.075,1.116735,236.974,0.014444444,36284.17888,23385.05599
2015M04,100.4,59.52428571,1.082204545,236.156,0.021052632,37249.62107,23560.68434
2015M03,100,55.88545455,1.081945455,236.005,0.023809524,37050.07253,24132.18918
2015M02,99.1,58.0955,1.135026316,235.236,0.017894737,31799.01307,22154.5218
2015M01,98.6,47.7595,1.16149,234.718,0.018,32112.6506,22144.44004
2014M12,99.8,62.335,1.232919048,236.252,0.025,35840.97273,22129.02311
2014M11,99.9,79.43789474,1.24725,236.983,0.041666667,34267.0832,22006.26958
2014M10,100.1,87.42521739,1.267731818,237.43,0.020909091,36883.10787,23869.34107
2014M09,100.2,97.09142857,1.288909524,237.477,0.012631579,34088.85946,22012.83425
