Date,Dollars per Barrel
1987,18.5258125
1988,14.90541176
1989,18.22822835
1990,23.76144531
1991,20.0411284
1992,19.31972763
1993,17.0134127
1994,15.85638889
1995,17.0158498
1996,20.63980315
1997,19.10850806
1998,12.75810277
1999,17.90156627
2000,28.66067194
2001,24.45571984
2002,24.9932549
2003,28.85081395
2004,38.25969349
2005,54.57455253
2006,65.16176471
2007,72.44116
2008,96.94434783
2009,61.73876984
2010,79.60944444
2011,111.2642742
2012,111.5706827
2013,108.555
2014,98.9696063
2015,52.31654902
2016,43.638
2017,54.12480469
2018,71.335
2019,62.38555556
