Date,Country,Rate
1/4/1999,Euro,0.8466
1/5/1999,Euro,0.8503
1/6/1999,Euro,0.8594
1/7/1999,Euro,0.8568
1/8/1999,Euro,0.8655
1/11/1999,Euro,0.867
1/12/1999,Euro,0.866
1/13/1999,Euro,0.8548
1/14/1999,Euro,0.8555
1/15/1999,Euro,0.8627
1/19/1999,Euro,0.8613
1/20/1999,Euro,0.8639
1/21/1999,Euro,0.8638
1/22/1999,Euro,0.8634
1/25/1999,Euro,0.8646
1/26/1999,Euro,0.8638
1/27/1999,Euro,0.871
1/28/1999,Euro,0.8776
1/29/1999,Euro,0.8794
2/1/1999,Euro,0.8847
2/2/1999,Euro,0.8828
2/3/1999,Euro,0.8819
2/4/1999,Euro,0.8845
2/5/1999,Euro,0.8863
2/8/1999,Euro,0.8853
2/9/1999,Euro,0.885
2/10/1999,Euro,0.8825
2/11/1999,Euro,0.8847
2/12/1999,Euro,0.8864
2/15/1999,Euro,
2/16/1999,Euro,0.8937
2/17/1999,Euro,0.8905
2/18/1999,Euro,0.891
2/19/1999,Euro,0.9029
2/22/1999,Euro,0.906
2/23/1999,Euro,0.9097
2/24/1999,Euro,0.9114
2/25/1999,Euro,0.9035
2/26/1999,Euro,0.9095
3/1/1999,Euro,0.9182
3/2/1999,Euro,0.9148
3/3/1999,Euro,0.9184
3/4/1999,Euro,0.9239
3/5/1999,Euro,0.9223
3/8/1999,Euro,0.9175
3/9/1999,Euro,0.9197
3/10/1999,Euro,0.9123
3/11/1999,Euro,0.9147
3/12/1999,Euro,0.9144
3/15/1999,Euro,0.9149
3/16/1999,Euro,0.9162
3/17/1999,Euro,0.9079
3/18/1999,Euro,0.9099
3/19/1999,Euro,0.9155
3/22/1999,Euro,0.9162
3/23/1999,Euro,0.9159
3/24/1999,Euro,0.9157
3/25/1999,Euro,0.9199
3/26/1999,Euro,0.9308
3/29/1999,Euro,0.9332
3/30/1999,Euro,0.9318
3/31/1999,Euro,0.9252
4/1/1999,Euro,0.9275
4/2/1999,Euro,0.9275
4/5/1999,Euro,0.9341
4/6/1999,Euro,0.9227
4/7/1999,Euro,0.9273
4/8/1999,Euro,0.9229
4/9/1999,Euro,0.9271
4/12/1999,Euro,0.9223
4/13/1999,Euro,0.9276
4/14/1999,Euro,0.9277
4/15/1999,Euro,0.9331
4/16/1999,Euro,0.9356
4/19/1999,Euro,0.9427
4/20/1999,Euro,0.9407
4/21/1999,Euro,0.9423
4/22/1999,Euro,0.9436
4/23/1999,Euro,0.9404
4/26/1999,Euro,0.9443
4/27/1999,Euro,0.9391
4/28/1999,Euro,0.942
4/29/1999,Euro,0.9442
4/30/1999,Euro,0.9466
5/3/1999,Euro,0.946
5/4/1999,Euro,0.944
5/5/1999,Euro,0.9325
5/6/1999,Euro,0.9277
5/7/1999,Euro,0.9276
5/10/1999,Euro,0.927
5/11/1999,Euro,0.9328
5/12/1999,Euro,0.9376
5/13/1999,Euro,0.9411
5/14/1999,Euro,0.939
5/17/1999,Euro,0.937
5/18/1999,Euro,0.937
5/19/1999,Euro,0.9398
5/20/1999,Euro,0.9407
5/21/1999,Euro,0.9454
5/24/1999,Euro,0.944
5/25/1999,Euro,0.9446
5/26/1999,Euro,0.955
5/27/1999,Euro,0.9579
5/28/1999,Euro,0.9595
5/31/1999,Euro,
6/1/1999,Euro,0.957
6/2/1999,Euro,0.9655
6/3/1999,Euro,0.9657
6/4/1999,Euro,0.9683
6/7/1999,Euro,0.9713
6/8/1999,Euro,0.958
6/9/1999,Euro,0.9569
6/10/1999,Euro,0.9545
6/11/1999,Euro,0.9509
6/14/1999,Euro,0.9601
6/15/1999,Euro,0.9597
6/16/1999,Euro,0.9711
6/17/1999,Euro,0.9681
6/18/1999,Euro,0.9645
6/21/1999,Euro,0.9687
6/22/1999,Euro,0.9687
6/23/1999,Euro,0.9694
6/24/1999,Euro,0.9641
6/25/1999,Euro,0.9571
6/28/1999,Euro,0.964
6/29/1999,Euro,0.9674
6/30/1999,Euro,0.9699
7/1/1999,Euro,0.9769
7/2/1999,Euro,0.9762
7/5/1999,Euro,
7/6/1999,Euro,0.9757
7/7/1999,Euro,0.9781
7/8/1999,Euro,0.9806
7/9/1999,Euro,0.9817
7/12/1999,Euro,0.9863
7/13/1999,Euro,0.9827
7/14/1999,Euro,0.979
7/15/1999,Euro,0.9785
7/16/1999,Euro,0.9801
7/19/1999,Euro,0.9801
7/20/1999,Euro,0.9597
7/21/1999,Euro,0.95
7/22/1999,Euro,0.9516
7/23/1999,Euro,0.9527
7/26/1999,Euro,0.9389
7/27/1999,Euro,0.941
7/28/1999,Euro,0.9395
7/29/1999,Euro,0.9329
7/30/1999,Euro,0.9351
8/2/1999,Euro,0.938
8/3/1999,Euro,0.9363
8/4/1999,Euro,0.9289
8/5/1999,Euro,0.9265
8/6/1999,Euro,0.9285
8/9/1999,Euro,0.9351
8/10/1999,Euro,0.9301
8/11/1999,Euro,0.9381
8/12/1999,Euro,0.9402
8/13/1999,Euro,0.9463
8/16/1999,Euro,0.9472
8/17/1999,Euro,0.9501
8/18/1999,Euro,0.9519
8/19/1999,Euro,0.9396
8/20/1999,Euro,0.9386
8/23/1999,Euro,0.9476
8/24/1999,Euro,0.9518
8/25/1999,Euro,0.9559
8/26/1999,Euro,0.9578
8/27/1999,Euro,0.956
8/30/1999,Euro,0.9574
8/31/1999,Euro,0.9451
9/1/1999,Euro,0.945
9/2/1999,Euro,0.9355
9/3/1999,Euro,0.943
9/6/1999,Euro,
9/7/1999,Euro,0.9451
9/8/1999,Euro,0.9443
9/9/1999,Euro,0.9485
9/10/1999,Euro,0.9614
9/13/1999,Euro,0.9615
9/14/1999,Euro,0.9608
9/15/1999,Euro,0.9629
9/16/1999,Euro,0.9599
9/17/1999,Euro,0.9616
9/20/1999,Euro,0.9608
9/21/1999,Euro,0.956
9/22/1999,Euro,0.9524
9/23/1999,Euro,0.9602
9/24/1999,Euro,0.9555
9/27/1999,Euro,0.9587
9/28/1999,Euro,0.9516
9/29/1999,Euro,0.9422
9/30/1999,Euro,0.9396
10/1/1999,Euro,0.933
10/4/1999,Euro,0.9343
10/5/1999,Euro,0.9352
10/6/1999,Euro,0.9342
10/7/1999,Euro,0.9327
10/8/1999,Euro,0.9407
10/11/1999,Euro,
10/12/1999,Euro,0.9314
10/13/1999,Euro,0.9295
10/14/1999,Euro,0.926
10/15/1999,Euro,0.9185
10/18/1999,Euro,0.9206
10/19/1999,Euro,0.9231
10/20/1999,Euro,0.9289
10/21/1999,Euro,0.9252
10/22/1999,Euro,0.9365
10/25/1999,Euro,0.9376
10/26/1999,Euro,0.9454
10/27/1999,Euro,0.9495
10/28/1999,Euro,0.9507
10/29/1999,Euro,0.9508
11/1/1999,Euro,0.9529
